discoverymethod,semimajoraxis,radius,mass,density,eccentricity,inclination,ttv,depth
Transit,0.1608,1.22,,,0,89.38,0,0.0268
Transit,0.1608,1.22,,,0,89.38,0,0.0268
Transit,0.0334,0.87,,,0,84.22,0,0.02682
Transit,0.0334,0.87,,,0,84.22,0,0.02683
Transit,0.0334,0.87,,,0,84.22,0,0.02686
Transit,0.078,1.55,,,0,87.09,0,0.02686
Transit,0.1103,1.5,,,0,89.95,0,0.02686
Transit,0.1103,1.5,,,0,89.95,0,0.0269
Transit,0.1103,1.5,,,0,89.95,0,0.0269
Transit,0.1632,2.02,,,0,87.09,0,0.0269
Transit,0.1632,2.02,,,0,87.09,0,0.0269
Transit,0.1632,2.02,,,0,87.09,0,0.02691
Transit,0.0329,2.55,,,0,89.95,0,0.02691
Transit,0.0329,2.55,,,0,89.95,0,0.02691
Transit,0.0329,2.55,,,0,89.95,0,0.02691
Transit,0.0335,1.66,,,0,88.66,0,0.02691
Transit,0.1651,2.29,,,0,88.37,0,0.02691
Transit,0.0691,1.69,,,0,84.22,0,0.02691
Transit,0.0691,1.69,,,0,84.22,0,0.02691
Transit,0.0691,1.69,,,0,84.22,0,0.02691
Transit,0.2014,2.86,,,0,88.89,0,0.02694
Transit,0.2269,2.95,,,0,88.97,0,0.02696
Transit,0.053,1.5,,,0,86.52,0,0.02697
Transit,,1.532,,,,,0,0.02697
Transit,0.0413,1.54,,,,,0,0.02697
Transit,0.019,1.6,,,0,75.63,0,0.02697
Transit,0.2113,1.61,,,0,88.24,0,0.02697
Transit,0.2113,1.61,,,0,88.24,0,0.027
Transit,0.2113,1.61,,,0,88.24,0,0.027
Transit,0.075,1.63,,,0,89.95,0,0.027
Transit,0.046,2.28,,,0,85.94,0,0.027
Transit,0.0716,1.66,,,0,88.24,0,0.027
Transit,0.0716,1.66,,,0,88.24,0,0.027
Transit,0.0716,1.66,,,0,88.24,0,0.027
Transit,0.0345,1.31,,,0,89,0,0.027
Transit,0.0417,1.67,,,0,87.09,0,0.027
Transit,0.0417,1.67,,,0,87.09,0,0.02701
Transit,0.0417,1.67,,,0,87.09,0,0.02701
Transit,0.5785,4.16,,,0,89.38,0,0.02701
Transit,0.5785,4.16,,,0,89.38,0,0.02702
Transit,0.5785,4.16,,,0,89.38,0,0.02703
Transit,0.0184,3.21,,,0,78.54,0,0.02703
Transit,0.0282,1.25,,,0,88.81,0,0.02703
Transit,0.0282,1.25,,,0,88.81,0,0.02703
Transit,0.0282,1.25,,,0,88.81,0,0.02703
Transit,0.1071,2.03,,,0,89.69,0,0.02703
Transit,0.0187,1.57,,,0,83.02,0,0.02704
Transit,0.0843,1.59,,,0,88.75,0,0.02706
Transit,0.1333,1.5,,,0,88.51,0,0.02706
Transit,0.036,1.27,,,0,86.52,0,0.02706
Transit,0.056,1.33,,,0,89.38,0,0.02706
Transit,0.032,1.4,,,0,88.24,0,0.02707
Transit,0.047,1.45,,,0,83.08,0,0.02707
Transit,0.112,2.06,,,0,86.52,0,0.02709
Transit,0.27,2.9,,,0,87.66,0,0.0271
Transit,0.091,2.08,,,0,89.79,0,0.0271
Transit,0.0592,1.38,,,0,89.38,0,0.0271
Transit,0.0592,1.38,,,0,89.38,0,0.0271
Transit,0.0592,1.38,,,0,89.38,0,0.0271
Transit,0.024,1.18,,,0,87.66,0,0.0271
Transit,0.024,1.18,,,0,87.66,0,0.02712
Transit,0.024,1.18,,,0,87.66,0,0.02714
Transit,0.0879,2.02,,,0,88.24,0,0.02714
Transit,0.0879,2.02,,,0,88.24,0,0.02714
Transit,0.0879,2.02,,,0,88.24,0,0.02717
Transit,0.0951,2.2,,,0,89.99,0,0.02717
Transit,0.0309,2.1,,,0,80.89,0,0.02717
Transit,0.116,2.54,,,0,84.22,0,0.02718
Transit,0.063,3.82,,,0,82.51,0,0.02718
Transit,0.0429,1.33,,,0,89.95,0,0.02718
Transit,0.0429,1.33,,,0,89.95,0,0.02718
Transit,0.0429,1.33,,,0,89.95,0,0.02719
Transit,0.0568,1.41,,,0,89.95,0,0.0272
Transit,0.0568,1.41,,,0,89.95,0,0.0272
Transit,0.0568,1.41,,,0,89.95,0,0.02724
Transit,0.1686,2.28,,,0,88.81,0,0.02724
Transit,0.1686,2.28,,,0,88.81,0,0.02724
Transit,0.1686,2.28,,,0,88.81,0,0.02724
Transit,0.0588,1.27,,,0,89.95,0,0.02724
Transit,0.0588,1.27,,,0,89.95,0,0.02724
Transit,0.0588,1.27,,,0,89.95,0,0.02724
Transit,0.064,2.03,,,0,89.58,0,0.02724
Transit,,1.38,,,,,0,0.02724
Transit,0.182,1.7,,,0,89.38,0,0.02726
Transit,0.063,1.76,,,0,86.52,0,0.02726
Transit,0.079,1.87,,,0,84.8,0,0.02726
Transit,0.0525,1.56,,,0,86.08,0,0.02729
Transit,0.0907,1.97,,,0,84.43,0,0.0273
Transit,0.0634,2.53,,,0,89.38,0,0.0273
Transit,0.0634,2.53,,,0,89.38,0,0.0273
Transit,0.0634,2.53,,,0,89.38,0,0.0273
Transit,0.0435,1.23,,,0,88.7,0,0.02731
Transit,0.121,1.84,,,0,89.95,0,0.02731
Transit,0.121,1.84,,,0,89.95,0,0.02732
Transit,0.121,1.84,,,0,89.95,0,0.02732
Transit,0.1246,1.71,,,0,87.77,0,0.02732
Transit,0.0593,2.25,,,0,89.38,0,0.02733
Transit,0.0593,2.25,,,0,89.38,0,0.02733
Transit,0.0624,2.06,,,0,88.54,0,0.02733
Transit,0.0932,1.68,,,0,89.86,0,0.02733
Transit,0.1894,1.15,,,0,89.96,0,0.02734
Transit,0.054,1.99,,,0,77.92,0,0.02734
Transit,0.054,1.99,,,0,77.92,0,0.02734
Transit,0.054,1.99,,,0,77.92,0,0.02736
Transit,0.055,1.4,,,0,86.52,0,0.02737
Transit,0.2095,2.79,,,0,89.95,1,0.02738
Transit,0.2095,2.79,,,0,89.95,1,0.02738
Transit,0.2095,2.79,,,0,89.95,1,0.02738
Transit,0.0732,1.47,,,0,89.89,0,0.02738
Transit,0.0523,1.48,,,0,87.63,0,0.0274
Transit,0.2528,2.36,,,0,89.77,0,0.0274
Transit,0.1803,1.53,,,0,89.95,0,0.0274
Transit,0.1803,1.53,,,0,89.95,0,0.0274
Transit,0.1803,1.53,,,0,89.95,0,0.02741
Transit,0.049,3.54,,,0,82.54,0,0.02744
Transit,0.025,0.96,,,0,83.08,0,0.02745
Transit,0.167,1.69,,,0,88.24,0,0.02749
Transit,0.09,1.89,,,0,83.08,0,0.02749
Transit,,1.96,,,,,0,0.02749
Transit,,2.13,,,,,0,0.02749
Transit,0.116,2.76,,,0,85.94,0,0.0275
Transit,0.2128,1.32,,,0,89.38,0,0.0275
Transit,0.2128,1.32,,,0,89.38,0,0.0275
Transit,0.2128,1.32,,,0,89.38,0,0.0275
Transit,0.0862,1.5,,,0,87.28,0,0.0275
Transit,0.048,1.38,,,0,89.95,0,0.0275
Transit,0.048,1.38,,,0,89.95,0,0.02752
Transit,0.048,1.38,,,0,89.95,0,0.02752
Transit,0.2014,1.15,,,0,89.95,0,0.02752
Transit,0.2014,1.15,,,0,89.95,0,0.02753
Transit,0.2014,1.15,,,0,89.95,0,0.02757
Transit,0.0706,1.43,,,0,89.95,0,0.02757
Transit,0.0706,1.43,,,0,89.95,0,0.02757
Transit,0.0706,1.43,,,0,89.95,0,0.02758
Transit,0.2102,2.98,,,0,85.15,0,0.02758
Transit,0.0862,1.34,,,0,87.5,0,0.02758
Transit,0.036,1.4,,,0,84.8,0,0.02758
Transit,0.0241,1.43,,,0,89.38,0,0.02758
Transit,0.0241,1.43,,,0,89.38,0,0.02758
Transit,0.0241,1.43,,,0,89.38,0,0.02758
Transit,0.063,1.54,,,0,87.09,0,0.02759
Transit,0.134,1.8,,,0,88.81,0,0.0276
Transit,0.241,2.08,,,0,87.66,1,0.0276
Transit,0.093,2.9,,,0,86.52,0,0.0276
Transit,0.2541,1.36,,,0,88.81,0,0.0276
Transit,0.2541,1.36,,,0,88.81,0,0.0276
Transit,0.2541,1.36,,,0,88.81,0,0.0276
Transit,0.0318,1.42,,,0,89.38,0,0.0276
Transit,0.0318,1.42,,,0,89.38,0,0.0276
Transit,0.0318,1.42,,,0,89.38,0,0.02761
Transit,0.0572,1.4,,,0,89.84,0,0.02761
Transit,0.0304,1.03,,,0,89.71,0,0.02761
Transit,0.0744,1.65,,,0,89.95,0,0.02764
Transit,0.0744,1.65,,,0,89.95,0,0.02764
Transit,0.0744,1.65,,,0,89.95,0,0.02764
Transit,0.033,1.5,,,0,86.52,0,0.02767
Transit,0.109,1.7,,,0,88.81,0,0.02768
Transit,0.098,1.89,,,0,89.95,0,0.02769
Transit,0.124,1.9,,,0,89.38,0,0.02769
Transit,0.0304,1.03,,,0,89.38,0,0.02769
Transit,0.0304,1.03,,,0,89.38,0,0.0277
Transit,0.0304,1.03,,,0,89.38,0,0.0277
Transit,0.0367,1.36,,,0,86.37,0,0.0277
Transit,0.0484,1.63,,,0,85.65,0,0.0277
Transit,0.0988,1.85,,,0,89.69,0,0.02771
Transit,0.0241,1.29,,,0,82.28,0,0.02771
Transit,0.0954,1.92,,,0,89.95,0,0.02771
Transit,0.0954,1.92,,,0,89.95,0,0.02771
Transit,0.0954,1.92,,,0,89.95,0,0.02771
Transit,0.1241,2.99,,,0,88.09,0,0.02771
Transit,0.0171,1.28,,,0,88.24,0,0.02772
Transit,0.0171,1.28,,,0,88.24,0,0.02773
Transit,0.0171,1.28,,,0,88.24,0,0.02773
Transit,0.0363,1.22,,,0,89.85,0,0.02773
Transit,0.069,1.3,,,0,89.95,0,0.02776
Transit,,1.44,,,,,0,0.02779
Transit,0.027,1.67,,,0,89.95,0,0.02779
Transit,0.078,3.76,,,0,85.37,0,0.02779
Transit,0.2129,3.13,,,0,89.33,1,0.0278
Transit,0.0523,1.38,,,0,89.95,0,0.0278
Transit,0.0523,1.38,,,0,89.95,0,0.0278
Transit,0.0523,1.38,,,0,89.95,0,0.0278
Transit,0.0364,1.3,,,0,88.52,0,0.0278
Transit,0.0279,1.77,,,0,74.86,0,0.02781
Transit,0.0306,1.5,,,0,87.66,0,0.02785
Transit,0.0306,1.5,,,0,87.66,0,0.02785
Transit,0.0306,1.5,,,0,87.66,0,0.02785
Transit,0.326,1.54,,,0,89.95,0,0.02786
Transit,0.326,1.54,,,0,89.95,0,0.02787
Transit,0.326,1.54,,,0,89.95,0,0.02789
Transit,0.045,1.6,,,0,84.22,0,0.02789
Transit,0.083,1.62,,,0,89.95,0,0.02789
Transit,0.055,1.65,,,0,85.94,0,0.02789
Transit,0.117,1.97,,,0,86.52,0,0.02789
Transit,0.1187,1.31,,,0,89.38,0,0.02789
Transit,0.1187,1.31,,,0,89.38,0,0.0279
Transit,0.1187,1.31,,,0,89.38,0,0.0279
Transit,0.047,1.57,,,0,78.17,0,0.0279
Transit,0.1681,1.4,,,0,89.95,0,0.0279
Transit,0.1681,1.4,,,0,89.95,0,0.02792
Transit,0.1681,1.4,,,0,89.95,0,0.02792
Transit,0.0372,1.77,,,0,82.32,0,0.02792
Transit,0.1777,3.61,,,0,85.39,0,0.02792
Transit,0.2432,1.46,,,0,89.95,0,0.02796
Transit,0.2432,1.46,,,0,89.95,0,0.02796
Transit,0.2432,1.46,,,0,89.95,0,0.02796
Transit,0.055,1.55,,,0,88.24,0,0.02796
Transit,,1.557,,,,,0,0.02796
Transit,0.073,1.64,,,0,89.95,1,0.028
Transit,0.06,1.79,,,0,81.36,0,0.028
Transit,0.112,1.89,,,0,88.81,0,0.028
Transit,,2.17,,,,,0,0.028
Transit,0.1128,2.82,,,0,89.95,1,0.028
Transit,0.0523,1.95,,,0,89.38,0,0.028
Transit,0.0523,1.95,,,0,89.38,0,0.028
Transit,0.0523,1.95,,,0,89.38,0,0.028
Transit,0.0434,2.11,,,0,87.2,0,0.028
Transit,0.2158,2.06,,,0,89.95,0,0.028
Transit,0.2158,2.06,,,0,89.95,0,0.02801
Transit,0.2158,2.06,,,0,89.95,0,0.02801
Transit,0.0185,1.46,,,0,89.86,0,0.02801
Transit,0.0128,1.33,,,0,86.65,0,0.02801
Transit,0.022,1.07,,,0,79.07,0,0.02806
Transit,0.0464,1.37,,,0,88.78,0,0.02806
Transit,0.324,1.8,,,0,89.38,0,0.02806
Transit,0.1075,2.55,,,0,83.97,0,0.02807
Transit,0.1246,1.67,,,0,88.81,0,0.02809
Transit,0.1246,1.67,,,0,88.81,0,0.0281
Transit,0.1246,1.67,,,0,88.81,0,0.0281
Transit,0.1116,2.13,,,0,85.87,0,0.0281
Transit,0.077,1.4,,,0,89.38,0,0.0281
Transit,0.034,1.5,,,0,87.09,0,0.02814
Transit,0.044,1.54,,,0,86.52,0,0.02814
Transit,0.032,1.92,,,0,79.07,0,0.02814
Transit,0.056,2.25,,,0,84.8,0,0.02818
Transit,0.068,2.58,,,,,1,0.0282
Transit,0.119,3.28,,,0,86.52,1,0.0282
Transit,0.2356,2.05,,,0,89.94,0,0.0282
Transit,0.102,2.83,,,0,89.95,0,0.0282
Transit,0.102,2.83,,,0,89.95,0,0.0282
Transit,0.102,2.83,,,0,89.95,0,0.0282
Transit,0.0837,1.4,,,0,87.09,0,0.0282
Transit,0.0837,1.4,,,0,87.09,0,0.02821
Transit,0.0837,1.4,,,0,87.09,0,0.02821
Transit,0.0189,1.55,,,0,88.81,0,0.02821
Transit,0.0189,1.55,,,0,88.81,0,0.02821
Transit,0.0189,1.55,,,0,88.81,0,0.02823
Transit,0.3108,2.81,,,0,88.03,1,0.02823
Transit,0.0184,3.48,,,0,74.48,0,0.02823
Transit,0.0184,3.48,,,0,74.48,0,0.02824
Transit,0.0184,3.48,,,0,74.48,0,0.02824
Transit,0.0547,1.58,,,0,80.79,0,0.02824
Transit,0.0547,1.58,,,0,80.79,0,0.02824
Transit,0.0547,1.58,,,0,80.79,0,0.02826
Transit,0.2098,2.63,,,0,85.94,0,0.02826
Transit,0.2098,2.63,,,0,85.94,0,0.02826
Transit,0.2098,2.63,,,0,85.94,0,0.02827
Transit,0.013,1.02,,,0,69.33,0,0.02827
Transit,0.034,1.49,,,0,89.95,0,0.02827
Transit,0.1327,1.51,,,0,89.67,0,0.02828
Transit,0.0812,1.68,,,0,89.38,0,0.02828
Transit,0.0812,1.68,,,0,89.38,0,0.02828
Transit,0.0812,1.68,,,0,89.38,0,0.0283
Transit,0.3185,1.99,,,0,89.95,1,0.0283
Transit,0.3185,1.99,,,0,89.95,1,0.02831
Transit,0.3185,1.99,,,0,89.95,1,0.02831
Transit,0.0848,1.23,,,0,87.09,0,0.02831
Transit,0.0848,1.23,,,0,87.09,0,0.02831
Transit,0.0848,1.23,,,0,87.09,0,0.02834
Transit,0.118,1.33,,,0,88.81,0,0.02834
Transit,,1.37,,,,,0,0.02834
Transit,0.06,1.61,,,0,84.22,0,0.02836
Transit,0.0223,0.86,,,0,89.3,0,0.02836
Transit,0.0644,2.58,,,0,89.38,0,0.02836
Transit,0.0644,2.58,,,0,89.38,0,0.0284
Transit,0.0644,2.58,,,0,89.38,0,0.0284
Transit,0.0581,1.47,,,0,89.95,0,0.0284
Transit,0.0581,1.47,,,0,89.95,0,0.02842
Transit,0.0581,1.47,,,0,89.95,0,0.02842
Transit,0.0546,1.8,,,0,89.95,0,0.02842
Transit,0.0546,1.8,,,0,89.95,0,0.02842
Transit,0.0546,1.8,,,0,89.95,0,0.02843
Transit,0.0669,1.32,,,0,89.38,0,0.02843
Transit,0.0669,1.32,,,0,89.38,0,0.02843
Transit,0.0669,1.32,,,0,89.38,0,0.02843
Transit,,1.816,,,,,0,0.02843
Transit,0.1019,2.98,,,0,81.62,0,0.02843
Transit,0.04527,1.615,,,0.045,87.59,0,0.02846
Transit,0.049,1.8,,,0,84.8,0,0.02846
Transit,0.201,2.27,,,0,87.66,0,0.02846
Transit,0.0676,2.32,,,0,88.56,0,0.02847
Transit,0.0313,1.7,,,0,82.3,0,0.02847
Transit,0.0089,1.72,,,0,40.98,0,0.0285
Transit,0.0388,1.56,,,0,70.4,0,0.0285
Transit,,1.3,,,,,0,0.0285
Transit,0.014,1.32,,,0,75.06,0,0.0285
Transit,0.0224,1.38,,,0,86.63,0,0.02851
Transit,0.077,1.42,,,0,87.66,0,0.02856
Transit,0.091,1.97,4.3,,0,88.5,1,0.02858
Transit,0.0556,1.65,,,0,88.72,0,0.0286
Transit,0.1065,1.57,,,0,88.81,0,0.0286
Transit,0.1065,1.57,,,0,88.81,0,0.0286
Transit,0.1065,1.57,,,0,88.81,0,0.0286
Transit,0.0872,1.77,,,0,89.86,0,0.0286
Transit,0.2016,1.21,,,0,89.43,0,0.02862
Transit,0.0719,1.54,,,0,86.29,0,0.02863
Transit,0.1239,1.82,,,0,89.95,0,0.02863
Transit,0.1239,1.82,,,0,89.95,0,0.02863
Transit,0.1239,1.82,,,0,89.95,0,0.02863
Transit,0.0701,1.42,,,0,89.63,0,0.02864
Transit,0.0279,1.43,,,0,88.24,0,0.02865
Transit,0.0279,1.43,,,0,88.24,0,0.02866
Transit,0.0279,1.43,,,0,88.24,0,0.02866
Transit,0.094,2.1,,,0,81.93,0,0.02866
Transit,0.1211,3.04,,,0,85.94,0,0.02867
Transit,0.1211,3.04,,,0,85.94,0,0.0287
Transit,0.1211,3.04,,,0,85.94,0,0.0287
Transit,0.0545,1.75,,,0,87.96,0,0.0287
Transit,0.4237,1.89,,,0,89.38,0,0.0287
Transit,0.4237,1.89,,,0,89.38,0,0.02871
Transit,0.4237,1.89,,,0,89.38,0,0.02871
Transit,0.0355,1.29,,,0,88.81,0,0.02871
Transit,0.0355,1.29,,,0,88.81,0,0.02873
Transit,0.0355,1.29,,,0,88.81,0,0.02873
Transit,0.0283,1.12,,,0,89.96,0,0.02873
Transit,0.1779,2,,,0,89.99,0,0.02873
Transit,0.1114,2.34,,,0,88.81,0,0.02874
Transit,0.1114,2.34,,,0,88.81,0,0.02874
Transit,0.1114,2.34,,,0,88.81,0,0.02874
Transit,0.048,1.43,,,0,83.08,0,0.02875
Transit,0.04,1.57,,,0,77.92,0,0.02876
Transit,0.105,2.06,,,0,84.22,0,0.02878
Transit,,2.93,,,,,0,0.02878
Transit,0.0438,1.63,,,0,84.83,0,0.02878
Transit,0.0442,2.18,,,0,88.81,0,0.0288
Transit,0.0442,2.18,,,0,88.81,0,0.0288
Transit,0.0442,2.18,,,0,88.81,0,0.0288
Transit,0.1024,3.07,,,0,88.95,0,0.0288
Transit,0.075,1.45,,,0,86.78,0,0.02883
Transit,0.1183,1.25,,,0,89.95,0,0.02883
Transit,0.1183,1.25,,,0,89.95,0,0.02883
Transit,0.1183,1.25,,,0,89.95,0,0.02883
Transit,0.056,1.58,,,0,84.8,0,0.02887
Transit,0.0717,1.72,,,0,89.47,0,0.02889
Transit,0.0912,1.75,,,0,80.79,0,0.0289
Transit,0.0912,1.75,,,0,80.79,0,0.0289
Transit,0.0912,1.75,,,0,80.79,0,0.0289
Transit,,2.919,,,,,1,0.0289
Transit,0.0224,1.39,,,0,86.52,0,0.02893
Transit,0.0224,1.39,,,0,86.52,0,0.02893
Transit,0.0224,1.39,,,0,86.52,0,0.02893
Transit,0.0617,3.18,,,0,75.06,0,0.02893
Transit,0.0617,3.18,,,0,75.06,0,0.028945
Transit,0.0617,3.18,,,0,75.06,0,0.02896
Transit,0.085,1.12,,,0,88.24,0,0.02896
Transit,0.0149,1.15,,,,,0,0.02896
Transit,,1.177,,,,,0,0.02898
Transit,0.012,1.19,,,0,83.65,0,0.02898
Transit,0.018,1.34,,,0,86.52,0,0.02898
Transit,0.161,2,,,0,87.66,0,0.029
Transit,,2.354,6.3566,,0,87.6,0,0.029
Transit,0.063,2.8,,,0,79.64,0,0.029
Transit,0.102,3.67,,,0,87.09,0,0.029
Transit,0.0625,1.92,,,0,89.3,0,0.029
Transit,0.0215,1.37,,,0,87.69,0,0.029
Transit,0.3049,1.75,,,0,89.95,0,0.029
Transit,0.3049,1.75,,,0,89.95,0,0.029
Transit,0.3049,1.75,,,0,89.95,0,0.029
Transit,0.1215,2.53,,,0,88.91,0,0.02901
Transit,0.116,1.64,,,0,89.93,0,0.02905
Transit,0.0766,1.79,,,0,89.95,0,0.02905
Transit,0.0766,1.79,,,0,89.95,0,0.02905
Transit,0.0766,1.79,,,0,89.95,0,0.02905
Transit,0.0632,2.32,,,0,85.43,0,0.02905
Transit,0.0832,1.69,,,0,89.38,0,0.02906
Transit,0.0832,1.69,,,0,89.38,0,0.02907
Transit,0.0832,1.69,,,0,89.38,0,0.02907
Transit,0.0717,1.72,,,0,89.95,0,0.02907
Transit,0.0717,1.72,,,0,89.95,0,0.02908
Transit,0.0717,1.72,,,0,89.95,0,0.02909
Transit,0.065,0.95,,,0,89.38,0,0.02909
Transit,0.03,1.13,,,0,85.94,0,0.02909
Transit,0.069,1.4,,,0,87.66,0,0.02909
Transit,0.239,2.01,,,0,88.24,0,0.02909
Transit,0.319,2.2,,,0,88.81,1,0.02909
Transit,,2.209,,,,,0,0.0291
Transit,0.0589,3.95,,,0,89.58,0,0.0291
Transit,,1.474,,,,,0,0.0291
Transit,0.0468,1.2,,,0,89.38,0,0.0291
Transit,0.0468,1.2,,,0,89.38,0,0.0291
Transit,0.0468,1.2,,,0,89.38,0,0.0291
Transit,0.0961,1.83,,,0,88.24,0,0.0291
Transit,0.0961,1.83,,,0,88.24,0,0.029104
Transit,0.0961,1.83,,,0,88.24,0,0.02914
Transit,0.1077,1.47,,,0,89.95,0,0.02914
Transit,0.1077,1.47,,,0,89.95,0,0.02914
Transit,0.1077,1.47,,,0,89.95,0,0.02915
Transit,0.0651,1.65,,,0,88.81,0,0.02915
Transit,0.0651,1.65,,,0,88.81,0,0.02915
Transit,0.0651,1.65,,,0,88.81,0,0.02917
Transit,0.2101,2.38,,,0,89.95,0,0.02917
Transit,0.2101,2.38,,,0,89.95,0,0.02917
Transit,0.2101,2.38,,,0,89.95,0,0.02917
Transit,0.182,1.37,,,0,88.81,0,0.02917
Transit,0.0557,1.99,,,0,89.38,0,0.02917
Transit,0.0557,1.99,,,0,89.38,0,0.02918
Transit,0.0557,1.99,,,0,89.38,0,0.02918
Transit,0.105,2.7,,,0,89.95,0,0.02918
Transit,0.6503,2.57,,,0,89.15,0,0.0292
Transit,0.1011,2.61,,,0,89.82,0,0.0292
Transit,0.1183,1.94,,,0,86.77,0,0.0292
Transit,0.059,1.94,,,0,85.86,0,0.0292
Transit,0.0961,1.76,,,0,89.29,0,0.0292
Transit,0.0628,1.55,,,0,88.24,0,0.02922
Transit,0.0628,1.55,,,0,88.24,0,0.02923
Transit,0.0628,1.55,,,0,88.24,0,0.02925
Transit,,2.3,,,,,1,0.02925
Transit,0.0333,1.65,,,0,88.24,0,0.02926
Transit,0.0333,1.65,,,0,88.24,0,0.02928
Transit,0.0333,1.65,,,0,88.24,0,0.02928
Transit,0.0791,1.85,,,0,89.36,0,0.02928
Transit,0.645,2.36,,,0,89.95,0,0.029286
Transit,0.645,2.36,,,0,89.95,0,0.02931
Transit,0.1685,3.26,,,0,89.24,0,0.02931
Transit,,1.651,,,,,0,0.02931
Transit,0.1183,1.92,,,0,87.09,0,0.02931
Transit,0.1183,1.92,,,0,87.09,0,0.02932
Transit,0.1183,1.92,,,0,87.09,0,0.02932
Transit,0.0547,1.46,,,0,87.09,0,0.02934
Transit,0.0547,1.46,,,0,87.09,0,0.029358
Transit,0.0547,1.46,,,0,87.09,0,0.02936
Transit,0.1938,1.75,,,0,89.04,0,0.02936
Transit,0.4266,1.96,,,0,89.95,0,0.02936
Transit,0.4266,1.96,,,0,89.95,0,0.02937
Transit,0.4266,1.96,,,0,89.95,0,0.02937
Transit,0.063,1.43,,,0,88.24,0,0.02937
Transit,0.01815,1.7,5.02,5.6,0,83.4,0,0.02937
Transit,0.1696,1.91,,,0,89.33,0,0.02938
Transit,0.0772,1.88,,,0,89.82,0,0.02938
Transit,0.0763,1.91,,,0,85.37,0,0.02938
Transit,0.0763,1.91,,,0,85.37,0,0.0294
Transit,0.0763,1.91,,,0,85.37,0,0.0294
Transit,0.4932,2.05,,,0,89.95,0,0.0294
Transit,0.4932,2.05,,,0,89.95,0,0.02941
Transit,0.4932,2.05,,,0,89.95,0,0.02941
Transit,0.0511,1.74,,,0,89.59,0,0.02941
Transit,0.0889,1.98,,,0,89.57,0,0.02941
Transit,0.011,1.01,,,0,71.62,0,0.02942
Transit,0.43,1.88,,,0,89.95,0,0.02942
Transit,0.052,2.95,,,0,83.65,0,0.02942
Transit,0.153,3.9,,,0,87.09,0,0.02948
Transit,0.0767,2.12,,,0,88.11,0,0.02949
Transit,0.1058,1.67,,,0,89.95,0,0.0295
Transit,0.0802,1.9,,,0,86.53,0,0.0295
Transit,0.1022,2.25,,,0,88.24,0,0.0295
Transit,0.1022,2.25,,,0,88.24,0,0.0295
Transit,0.1022,2.25,,,0,88.24,0,0.02951
Transit,0.3171,1.45,,,0,89.68,0,0.02955
Transit,0.0817,1.94,,,0,89.91,0,0.02955
Transit,0.1723,1.58,,,0,89.95,0,0.02955
Transit,0.1723,1.58,,,0,89.95,0,0.02955
Transit,0.1723,1.58,,,0,89.95,0,0.02955
Transit,0.022,1.38,,,0,84.8,0,0.02956
Transit,0.095,1.62,,,0,87.66,0,0.02957
Transit,0.4229,2.29,,,0,88.6,0,0.02959
Transit,0.188,2.5,,,0,87.66,0,0.02959
Transit,0.0696,1.21,,,0,89.43,0,0.02959
Transit,0.0181,1.35,,,0,89.95,0,0.0296
Transit,0.0181,1.35,,,0,89.95,0,0.0296
Transit,0.0181,1.35,,,0,89.95,0,0.0296
Transit,0.1089,1.79,,,0,89.38,0,0.0296
Transit,0.1089,1.79,,,0,89.38,0,0.02961
Transit,0.1089,1.79,,,0,89.38,0,0.02961
Transit,0.0422,1.36,,,0,88.3,0,0.02961
Transit,0.1834,1.94,,,0,89.05,0,0.02961
Transit,0.0614,1.37,,,0,87.06,0,0.02961
Transit,0.0256,1.88,,,0,86.47,0,0.02961
Transit,0.0784,1.73,,,0,89.95,0,0.02961
Transit,0.0784,1.73,,,0,89.95,0,0.02963
Transit,0.0784,1.73,,,0,89.95,0,0.02963
Transit,0.0956,1.26,,,0,89.38,0,0.02964
Transit,0.0956,1.26,,,0,89.38,0,0.02965
Transit,0.0956,1.26,,,0,89.38,0,0.02967
Transit,0.0815,1.35,,,0,89.56,0,0.02967
Transit,0.0376,1.55,,,0,88.24,0,0.02967
Transit,0.0376,1.55,,,0,88.24,0,0.02968
Transit,0.0376,1.55,,,0,88.24,0,0.02968
Transit,0.4204,2.22,,,0,89.81,0,0.02968
Transit,0.108,1.8,,,0,87.66,0,0.02969
Transit,0.026,1.98,,,0,83.65,0,0.02969
Transit,0.1456,2.64,,,0,88.43,0,0.02969
Transit,0.3255,1.79,,,0,89.95,0,0.02969
Transit,0.3255,1.79,,,0,89.95,0,0.02969
Transit,0.3255,1.79,,,0,89.95,0,0.0297
Transit,0.0719,1.35,,,0,89.95,0,0.0297
Transit,0.0719,1.35,,,0,89.95,0,0.0297
Transit,0.0719,1.35,,,0,89.95,0,0.02971
Transit,0.2383,2.41,,,0,89.94,0,0.02971
Transit,0.0114,0.99,,,0,83.78,0,0.02971
Transit,0.1189,3.2,,,0,88.19,1,0.02972
Transit,0.0597,1.78,,,0,88.25,0,0.02972
Transit,0.065,1.7,,,0,81.36,0,0.02972
Transit,0.098,1.82,,,0,89.95,0,0.02973
Transit,0.048,1.83,,,0,85.94,0,0.02974
Transit,0.095,1.95,,,0,87.09,0,0.02977
Transit,0.079,1.96,,,0,84.8,0,0.02978
Transit,0.079,2.16,,,0,89.95,0,0.0298
Transit,0.079,2.16,,,0,89.95,0,0.0298
Transit,0.079,2.16,,,0,89.95,0,0.0298
