discoverymethod,semimajoraxis,radius,mass,density,eccentricity,inclination,ttv,depth
Transit,,0.68,,,,,0,
Transit,,0.68,,,,,0,
Transit,0.048,0.69,,,0.06,89.09,0,
Transit,0.039,0.69,,,,,0,
Transit,,0.69,,,,,0,
Transit,,0.692,,,,,0,
Transit,0.01251,0.696,0.35,6,0.25,87.55,0,
Transit,,0.697,,,,,0,
Transit,,0.697,,,,,0,
Transit,,0.698,,,,,0,
Transit,,0.699,,,,,0,
Transit,,0.7,,,,,0,
Transit,0.166,0.7,,,,,0,
Transit,0.076,0.701,0.187,3.02,0.006,88.45,1,
Transit,,0.705,,,0.09,,0,
Transit,,0.71,,,,,0,
Transit,,0.71,0.5,,,,1,
Transit,,0.71,,,,,0,
Transit,,0.712,,,,,1,
Transit,,0.718,,,,,0,
Transit,,0.719,,,,87.78,0,
Transit,,0.72,,,,,0,
Transit,,0.722,,,,,0,
Transit,,0.725,,,,,0,
Transit,,0.729,,,,,0,
Transit,,0.73,,,,89.9,0,
Transit,0.0461,0.73,,,,,0,
Transit,0.039,0.73,,,,,0,
Transit,,0.73,,,,,0,
Transit,,0.73,,,,,0,
Transit,,0.73,,,,,0,
Transit,,0.73,,,0,,0,
Transit,,0.734,,,,,0,
Transit,,0.735,,,,,0,
Transit,0.051,0.74,,,,,0,
Transit,0.066,0.74,,,,,0,
Transit,,0.74,,,,,0,
Transit,0.0811,0.741,,,0.29,87.96,0,
Transit,,0.744,,,,,0,
Transit,,0.749,,,,,0,
Transit,0.04298,0.75,0.55,7.5,0.07,87.95,0,
Transit,0.037,0.75,,,,,0,
Transit,,0.75,,,,,0,
Transit,,0.75,12,,,,0,
Transit,0.112,0.75,,,,,0,
Transit,,0.75,,,,,0,
Transit,,0.753,,,,,0,
Transit,,0.754,,,,,0,
Transit,,0.755,,,,,0,
Transit,0.0117,0.76,,,,89.952,0,
Transit,,0.76,,,,,0,
Transit,,0.76,,,,,0,
Transit,,0.76,,,,,0,
Transit,,0.76,,,,,0,
Transit,,0.76,,,,,0,
Transit,,0.76,,,,,0,
Transit,,0.76,,,,,0,
Transit,,0.76,,,0.04,,0,
Transit,,0.76,,,,,0,
Transit,0.0719,0.764,,,,,0,
Transit,,0.766,,,,,0,
Transit,,0.768,,,,,0,
Transit,,0.77,,,,,0,
Transit,,0.77,,,,,0,
Transit,,0.77,,,,,0,
Transit,,0.772,,,,,0,
Transit,,0.773,,,,,0,
Transit,0.061935,0.773,0.331,3.96,0.00567,,1,
Transit,,0.775,,,,,0,
Transit,,0.776,,,,,0,
Transit,,0.78,,,,,0,
Transit,0.0116,0.78,,,,,0,
Transit,,0.78,,,,,0,
Transit,,0.78,,,,,0,
Transit,0.02228,0.784,0.297,3.4,0.00837,,1,
Transit,,0.788,,,,,0,
Transit,,0.79,,,,,0,
Transit,,0.79,,,,,0,
Transit,,0.79,,,,,0,
Transit,,0.79,,,,,0,
Transit,,0.79,,,,,0,
Transit,,0.79,,,,,0,
Transit,0.101,0.79,,,,,0,
Transit,,0.792,,,,,0,
Transit,,0.799,,,,,0,
Transit,,0.8,,,,,0,
Transit,,0.8,,,,,0,
Transit,,0.8,,,,,0,
Transit,,0.8,,,,,0,
Transit,,0.8,,,,,0,
Transit,,0.8,,,,,0,
Transit,,0.8,,,,,0,
Transit,,0.8,,,,,0,
Transit,,0.8,0.5,5.2,,,0,
Transit,0.0233,0.8,,,0.1,88.7,0,
Transit,0.02282,0.8,1.01,12.7,0.12,,0,
Transit,,0.802,2.02,4.02,0.067,87.62,1,
Transit,,0.805,,,,,0,
Transit,,0.805,,,,,0,
Transit,,0.806,,,,,0,
Transit,,0.807,,,,,0,
Transit,,0.81,,,,,0,
Transit,,0.81,,,,,0,
Transit,,0.81,,,,,0,
Transit,0.046,0.81,,,,,0,
Transit,0.013,0.81,,,,,0,
Transit,,0.81,,,,,0,
Transit,0.036,0.81,,,,,0,
Transit,,0.81,,,,,1,
Transit,0.068,0.818,0.72,7.5,0.07,88.63,0,
Transit,,0.818,,,,,0,
Transit,,0.819,,,,84.105,0,
Transit,0.098,0.82,,,,,0,
Transit,,0.82,5.3,,,,0,
Transit,,0.82,,,,,0,
Transit,,0.82,,,,,0,
Transit,,0.82,,,,,0,
Transit,0.065,0.82,,,,,0,
Transit,,0.82,5,,,,0,
Transit,,0.82,,,,,0,
Transit,,0.823,,,,,0,
Transit,,0.824,,,,,0,
Transit,,0.824,,,,,0,
Transit,,0.828,,,,,0,
Transit,,0.83,,,,,0,
Transit,,0.83,,,,,0,
Transit,0.035,0.83,,,,,0,
Transit,,0.835,,,,,0,
Transit,,0.835,,,,,0,
Transit,,0.837,,,0.14,,0,
Transit,,0.84,8.25,77.7,,,0,
Transit,,0.84,,,,,0,
Transit,,0.84,,,,,0,
Transit,,0.84,,,,,0,
Transit,,0.84,,,,,0,
Transit,,0.84,,,,,0,
Transit,,0.845,,,,,0,
Transit,,0.85,,,,,0,
Transit,,0.85,2.71,24.39,,,0,
Transit,0.02191,0.85,0.4,3.6,0.103,87.71,0,
Transit,,0.851,,,,,0,
Transit,,0.854,,,,,0,
Transit,,0.855,,,,,0,
Transit,,0.859,,,,,0,
Transit,,0.86,,,,89.2,0,
Transit,0.0722,0.86,,,,,0,
Transit,0.08377,0.86,3.8,33.1,0,87.55,0,
Transit,,0.86,,,,,0,
Transit,,0.86,,,,,0,
Transit,,0.86,,,,,0,
Transit,0.085,0.86,,,,,0,
Transit,0.093,0.86,,,,,0,
Transit,,0.86,,,,,0,
Transit,,0.861,,,,,0,
Transit,,0.863,,,,,0,
Transit,,0.863,,,,,0,
Transit,0.0639,0.865,,,,87.632,0,
Transit,,0.866,,,,,0,
Transit,,0.866,,,,,0,
Transit,,0.868,2.11,3.33,0.043,87.13,1,
Transit,,0.869,,,,86.231,0,
Transit,,0.869,,,,,0,
Transit,,0.87,,,,,0,
Transit,,0.87,,,,,0,
Transit,,0.87,,,,,0,
Transit,,0.87,,,,,0,
Transit,,0.87,,,,,0,
Transit,,0.87,,,,,0,
Transit,,0.872,,,,,0,
Transit,,0.872,,,,,0,
Transit,,0.879,,,,,0,
Transit,,0.88,5.2,,,,0,
Transit,,0.88,,,,,0,
Transit,,0.88,,,,,0,
Transit,,0.88,,,,,0,
Transit,,0.88,,,,,0,
Transit,0.087,0.88,,,,,0,
Transit,,0.88,,,,,0,
Transit,,0.885,,,,,0,
Transit,,0.886,,,,,0,
Transit,,0.887,,,,,0,
Transit,0.0058,0.89,158.915,,0,89.6,0,
Transit,,0.89,,,,89.7,0,
Transit,,0.89,,,,,0,
Transit,,0.89,,,,,0,
Transit,,0.89,,,,,0,
Transit,,0.89,,,,,0,
Transit,,0.89,,,,,0,
Transit,,0.89,,,,,0,
Transit,0.056,0.89,,,,,0,
Transit,0.024,0.89,,,,,0,
Transit,0.051,0.89,,,,,0,
Transit,0.098,0.89,,,,,0,
Transit,,0.89,,,,,0,
Transit,0.0695,0.892,3.7,31.93,,88.9,0,
Transit,,0.895,,,,,0,
Transit,,0.895,,,,,0,
Transit,,0.899,,,,,0,
Transit,,0.9,,,,,0,
Transit,,0.9,,,,,0,
Transit,,0.9,,,,,0,
Transit,,0.9,,,,,0,
Transit,,0.9,,,,,0,
Transit,,0.9,,,,,0,
Transit,0.01223,0.903,,,0,86.8,0,
Transit,,0.904,,,,,0,
Transit,0.0296,0.908,,,0,89.276,0,
Transit,,0.91,,,,81.505,0,
Transit,,0.91,,,,,0,
Transit,,0.91,,,,,0,
Transit,0.164,0.91,,,,,0,
Transit,,0.91,,,,,0,
Transit,0.029283,0.91,0.772,5.646,0.0051,,1,
Transit,,0.912,,,,,0,
Transit,,0.913,,,,,0,
Transit,,0.918,,,,,0,
Transit,,0.92,,,,,0,
Transit,0.049,0.92,,,,,0,
Transit,,0.92,,,,,0,
Transit,,0.92,,,,,0,
Transit,,0.92,,,,,0,
Transit,,0.92,,,,,0,
Transit,,0.92,,,,,0,
Transit,0.01153,0.92,,,,,0,
Transit,,0.92,,,,,0,
Transit,,0.922,,,,,0,
Transit,,0.922,,,,,0,
Transit,,0.925,,,,,0,
Transit,,0.926,,,,,0,
Transit,,0.927,,,,,0,
Transit,,0.927,,,,,0,
Transit,,0.927,,,0.42,,0,
Transit,,0.93,,,,,0,
Transit,,0.93,,,,,0,
Transit,,0.93,,,,,0,
Transit,0.044,0.93,,,,,0,
Transit,,0.931,,,,,0,
Transit,,0.932,,,,,0,
Transit,,0.934,,,,,0,
Transit,,0.94,,,,,0,
Transit,,0.94,,,,,0,
Transit,,0.94,,,,,0,
Transit,,0.94,,,,,0,
Transit,,0.94,,,,,0,
Transit,0.039,0.94,,,,,0,
Transit,,0.94,,,,,0,
Transit,,0.94,,,,,0,
Transit,,0.941,,,,,0,
Transit,,0.941,17.6,,,,0,
Transit,,0.942,,,,,0,
Transit,,0.943,,,,,0,
Transit,,0.944,,,,,0,
Transit,,0.944,,,,,0,
Transit,,0.944,,,,,0,
Transit,,0.947,,,,,0,
Transit,,0.949,,,,,0,
Transit,,0.95,,,,88.74,0,
Transit,,0.95,,,,,0,
Transit,,0.95,8.1,,,,0,
Transit,,0.95,,,,,0,
Transit,,0.95,,,,,0,
Transit,,0.95,,,,,0,
Transit,,0.95,,,,,0,
Transit,,0.95,,,,,0,
Transit,,0.95,,,,,0,
Transit,,0.956,,,,,0,
Transit,,0.957,,,,,0,
Transit,,0.958,,,,,0,
Transit,,0.959,,,,,0,
Transit,,0.96,,,,,0,
Transit,0.1833,0.96,,,,,0,
Transit,,0.96,,,,,0,
Transit,,0.96,,,,,0,
Transit,,0.96,,,0.01,,0,
Transit,0.03303,0.96,,,,,0,
Transit,,0.96,,,,,0,
Transit,,0.96,,,,,0,
Transit,0.103,0.96,,,,,0,
Transit,,0.96,,,,,0,
Transit,,0.96,,,,,0,
Transit,,0.962,,,,,0,
Transit,,0.962,,,,,0,
Transit,,0.964,,,,,0,
Transit,,0.964,,,,,0,
Transit,,0.968,,,,,0,
Transit,,0.97,,,,,0,
Transit,,0.97,,,,,0,
Transit,,0.97,,,,,0,
Transit,,0.97,,,,,0,
Transit,,0.97,,,,,0,
Transit,,0.975,,,,,0,
Transit,,0.976,,,0.15,,1,
Transit,,0.977,,,,,0,
Transit,,0.98,,,,,0,
Transit,,0.98,,,,,0,
Transit,,0.98,,,,,0,
Transit,,0.98,,,,,0,
Transit,,0.98,,,,,0,
Transit,,0.98,,,,,0,
Transit,0.163,0.98,,,,,0,
Transit,0.03734,0.98,,,,,0,
Transit,,0.98,,,,,0,
Transit,,0.98,,,,,0,
Transit,,0.98,,,,,0,
Transit,,0.98,,,,,0,
Transit,,0.98,,,,,0,
Transit,,0.982,,,,,0,
Transit,0.0331,0.982,1.4,10.6,0.22,89.09,0,
Transit,,0.983,,,0.38,,0,
Transit,,0.987,,,,,0,
Transit,,0.99,,,,92.6,0,
Transit,,0.99,,,0.1,89.3,0,
Transit,0.0511,0.99,,,,90.001,0,
Transit,,0.99,,,,,0,
Transit,,0.99,,,,,0,
Transit,,0.99,,,,,0,
Transit,0.02452,0.99,,,,,0,
Transit,0.066,0.99,,,,,0,
Transit,,0.99,,,,,0,
Transit,,0.99,,,,,0,
Transit,,0.993,,,,,0,
Transit,,0.994,,,,,0,
Transit,,0.995,,,,,0,
Transit,,0.997,,,,,0,
Transit,,1,,,,,0,
Transit,,1,,,,89.9,0,
Transit,,1,,,,89.7,0,
Transit,,1,,,,89.7,0,
Transit,,1,,,,,0,
