discoverymethod,semimajoraxis,radiuse,radiusj,masse,massj,eccentricity,inclination,ttv,depth
Imaging,2.6,,,3337.1,10.5,,,0,
Imaging,200,20.849,1.86,2479.06157,7.8,,,0,
Imaging,210,,,3994.486,12.569,,,0,
Radial Velocity,,,,3686.828,11.6,0.25,50.5,0,
Imaging,7506,12.442,1.11,2002.31896,6.3,,,0,
Imaging,440,24.66,2.2,5403,17,,,0,
Transit,0.02752,19.223,1.715,390.9309,1.23,0.036,85.1,0,
Transit,,16.7,1.49,327.35,1.03,0,85.1,0,1.92654
Transit,0.0259,15.917,1.42,340.0781,1.07,0.071,85.66,0,
Transit,0.02536,17.385,1.551,327.3649,1.03,,84.42,0,
Transit,,20.594,1.837,,,,,0,1.314
Transit,,,,,,,,0,
Transit,0.0261,16.589,1.48,359.1479,1.13,0,86.7,0,
Transit,0.1055,10.873,0.97,867.6759,2.73,0.524,88.55,0,
Transit,0.1055,10.87,0.97,874,2.75,0.53,88.55,0,1.61036
Transit,0.106,10.548,0.941,883.5674,2.78,,88.57,0,
Transit,0.044,15.984,1.426,743.7222,2.34,,83.13,0,
Transit,0.04407,16.029,1.43,832.7146,2.62,0.36,83.17,0,
Transit,0.0436,16.03,1.43,740.51,2.33,0,83.17,0,1.1449
Transit,0.04351,15.581,1.39,791.3967,2.49,0,83.41,0,1.16
Transit,,,,,,,,0,
Transit,0.0392,15.065,1.344,277.46559,0.873,,85.71,0,
Transit,0.0394,15.132,1.35,281.91521,0.887,,85.79,0,
Transit,0.04013,16.141,1.44,290.81445,0.915,0.05,85.48,0,
Transit,,,,,,,,0,
Transit,0.04016,16.14,1.44,291.438,0.917,0.07,85.48,0,1.744
Transit,,17.76,1.584,,,,,0,2.886083
Transit,0.05107,9.92,0.885,423.03173,1.331,0.067,88.02,0,
Transit,,,,,,,,0,
Transit,0.051,9.92,0.885,415.704,1.308,0,88.02,0,
Transit,,12.533,1.118,,,,,0,1.185047
Transit,0.051,14.034,1.252,416.99296,1.312,,85.27,0,
Transit,0.02687,11.411,1.018,2437.7561,7.67,,79.7,0,
Transit,0.02691,12.218,1.09,2358.2986,7.42,0.036,79.6,0,
Transit,0.027,12.22,1.09,2415.4,7.6,0,79.6,0,
Transit,0.0618,13.115,1.17,168.13207,0.529,0.37,85.01,0,
Transit,0.0618,13.11,1.17,170.032,0.535,0.33,85.01,0,1.02
Transit,0.0461,11.43,1.02,772.29,2.43,0,88.34,0,0.44
Transit,0.0481,11.287,1.007,781.8618,2.46,,89.3,0,
Transit,0.0481,11.433,1.02,765.9703,2.41,0.081,88.3,0,
Transit,,,,,,,,0,
Transit,0.0295,14.684,1.31,1099.6918,3.46,0.025,86.5,0,
Transit,0.0288,12.846,1.146,1048.839,3.3,,89.9,0,
Transit,0.0286,14.022,1.251,1039.3041,3.27,,86.8,0,
Transit,,15.05,1.343,,,,,0,2.571701
Transit,0.0295,14.68,1.31,1102.82,3.47,0.08,86.5,0,
Transit,0.0518,14.46,1.29,352.78,1.11,0.047,88,0,
Transit,,13.493,1.204,,,,,0,0.631275
Transit,0.0512,13.339,1.19,346.4347,1.09,,89.7,0,
Transit,0.05166,14.46,1.29,367.09365,1.155,0.056,88,0,
Transit,,,,,,,,0,
Transit,,16.923,1.51,,,,,1,3.22057
Transit,0.02835,16.365,1.46,1134.6531,3.57,,87.45,1,
Transit,,,,,,,,1,
