discoverymethod,semimajoraxis,radiuse,radiusj,masse,massj,eccentricity,inclination,ttv,depth
Transit,0.1602,2.9,,,,0,89.97,1,0.11022
Transit,,2.96,0.264,,,,,1,
Transit,0.1602,3.87,,,,0,89.95,1,0.11713
Transit,,3.027,0.27,,,,,1,
Transit,,,,,,,,1,0.1189
Transit,,,,,,,,1,
Transit,0.1602,3.87,,,,0,89.95,1,0.11713
Transit,0.1602,3.87,,,,0,89.95,1,0.11713
Transit,0.161,3.8,,,,0,89.95,1,0.1058
Transit,0.158,3.11,0.277,,,,,1,
Transit,0.3211,4.06,,,,0,89.95,1,0.12939
Transit,0.3211,4.06,,,,0,89.95,1,0.12939
Transit,,3.655,0.326,,,,,1,
Transit,0.316,3.25,0.29,,,,,1,
Transit,0.3211,4.06,,,,0,89.95,1,0.12939
Transit,,,,,,,,1,
Transit,,,,,,,,1,0.1354
Transit,0.324,3.9,,,,0,89.95,1,0.1144
Transit,,,,,,,,1,
Transit,0.3211,3.51,,,,0,88.93,1,0.12542
Transit,,3.15,0.281,,,,,1,
Transit,0.0448,2.11,,,,0,82.51,0,0.03967
Transit,0.045,1.97,,,,0,85.37,0,0.0387
Transit,0.04537,1.91,0.17,8.7,0.027,0.32,86.5,0,
Transit,0.0448,2.11,,,,0,82.51,0,0.03967
Transit,,,,,,,,0,0.0398
Transit,,1.708,0.152,,,,,0,
Transit,0.0448,2.11,,,,0,82.51,0,0.03967
Transit,0.0463,1.868,0.167,9.7,0.03052,0.03,87.355,0,
Transit,,2.13,0.19,,,,,0,
Transit,0.0448,1.78,,,,0,89.92,0,0.03834
Transit,,,,,,,,0,
Transit,,,,,,,,0,
Transit,,,,,,,,0,
Transit,0.0949,3.047,0.272,12.75,0.04012,0.16,89.815,0,
Transit,,2.868,0.256,,,,,0,
Transit,0.0919,3.03,,,,0,88.81,0,0.1051
Transit,0.093,3.07,0.274,16.1,0.051,0.4,88.39,0,
Transit,0.0919,3.03,,,,0,88.81,0,0.1051
Transit,,3.04,0.271,,,,,0,
Transit,0.0919,3.03,,,,0,88.81,0,0.1051
Transit,0.0919,2.99,,,,0,88.83,0,0.10344
Transit,,,,,,,,0,
Transit,0.093,3.17,,,,0,87.66,0,0.1028
Transit,,,,,,,,0,0.1045
Transit,,,,,,,,0,0.0839
Transit,,2.488,0.222,,,,,0,
Transit,,,,,,,,0,
Transit,0.3411,2.62,,,,0,89.95,0,0.08275
Transit,0.3453,2.75,0.245,20.1,0.063,0.6,89.57,0,
Transit,0.3411,2.62,,,,0,89.95,0,0.08275
Transit,0.3411,2.62,,,,0,89.95,0,0.08275
Transit,,,,,,,,0,
Transit,0.3411,2.59,,,,0,89.94,0,0.08145
Transit,0.3506,2.744,0.245,10.07,0.03168,,89.708,0,
Transit,0.344,2.84,,,,0,89.38,0,0.0825
Transit,,2.63,0.235,,,,,0,
Transit,0.0626,0.82,,,,0,87.66,0,0.00748
Transit,,0.81,0.072,,,,,0,
Transit,0.0639,0.865,0.077,,,,87.632,0,
Transit,0.0626,0.82,,,,0,87.66,0,0.00748
Transit,,,,,,,,0,
Transit,0.0626,0.82,,,,0,87.66,0,0.00748
Transit,,,,,,,,0,
Transit,0.063,0.91,,,,0,86.52,0,0.008
Transit,,0.868,0.077,3.08,0.01,0.28,87.5,0,0.0082
Transit,,0.805,0.072,,,,,0,
Transit,0.0626,0.84,,,,0,89.22,0,0.00844
Transit,,,,,,,,0,0.0123
Transit,0.1396,1.003,0.089,,,,88.788,0,
Transit,0.137,1.03,,,,0,88.24,0,0.0094
Transit,0.1362,0.99,,,,0,89.38,0,0.01156
Transit,0.1362,0.99,,,,0,89.38,0,0.01156
Transit,0.1362,0.9,,,,0,89.94,0,0.00981
Transit,,1.03,0.092,14.3,0.045,0.32,88.68,0,0.0101
Transit,,,,,,,,0,
Transit,0.1362,0.99,,,,0,89.38,0,0.01156
Transit,,,,,,,,0,
Transit,,0.863,0.077,,,,,0,
Transit,,1.02,0.091,,,,,0,
Radial Velocity,0.2055,,,,,0.15,,0,
Transit,,2.19,0.195,,,,,0,
Transit,0.0832,2.92,,,,0,83.08,0,0.03507
Transit,,,,,,,,0,0.0353
Transit,0.0787,1.75,,,,0,87.84,0,0.03365
Transit,,,,,,,,0,
Transit,,,,,,,,0,
Transit,0.083,2.54,,,,0,87.09,0,0.034
Transit,0.0832,2.92,,,,0,83.08,0,0.03507
Transit,0.0832,2.92,,,,0,83.08,0,0.03507
Transit,,1.894,0.169,,,,,0,
Transit,0.08,2.13,0.19,,,,,0,
Transit,0.0934,1.99,,,,0,89.95,0,0.02392
Transit,,1.46,0.13,,,,,0,
Transit,0.0934,1.99,,,,0,89.95,0,0.02392
Transit,,,,,,,,0,
Transit,0.09,1.59,0.142,,,,,0,
Transit,0.0883,1.72,,,,0,88.23,0,0.02382
Transit,0.0934,1.99,,,,0,89.95,0,0.02392
Transit,,,,,,,,0,
Transit,,1.86,0.166,,,,,0,
Transit,0.093,2.9,,,,0,86.52,0,0.0276
Transit,0.1758,2.73,,,,0,87.66,0,0.03964
Transit,,2.88,0.257,,,,,0,
Transit,0.175,2.46,0.219,,,,,0,
Transit,0.179,2.68,,,,0,87.2,0,0.03871
Transit,,2.63,0.235,,,,,0,
Transit,0.18,2.77,,,,0,87.66,0,0.039
Transit,,,,,,,,0,0.0405
Transit,,,,,,,,0,
Transit,,,,,,,,0,
Transit,0.1758,2.73,,,,0,87.66,0,0.03964
Transit,0.1758,2.73,,,,0,87.66,0,0.03964
Transit,0.573,2.85,0.254,,,,,1,
Transit,,2.652,0.237,,,,,1,
Transit,,2.23,0.199,,,,,1,
Transit,,,,,,,,1,0.0378
Transit,,,,,,,,1,
Transit,0.5752,2.31,,,,0,89.95,1,0.03465
Transit,,,,,,,,1,
Transit,0.5752,2.31,,,,0,89.95,1,0.03465
Transit,0.5855,2.47,,,,0,89.27,1,0.03606
Transit,0.588,2.55,,,,0,89.38,1,0.0348
Transit,0.5752,2.31,,,,0,89.95,1,0.03465
Transit,0.0449,1.53,,,,0,89.62,0,0.05491
Transit,0.0455,1.91,,,,0,85.37,0,0.05648
Transit,,,,,,,,0,
Transit,0.044,1.61,,,,0,87.09,0,0.0548
Transit,,1.9,0.17,,,,,0,
Transit,0.0455,1.91,,,,0,85.37,0,0.05648
Transit,,,,,,,,0,
Transit,,,,,,,,0,0.0569
Transit,0.0455,1.91,,,,0,85.37,0,0.05648
Transit,,1.552,0.138,,,,,0,
Transit,0.045,1.63,0.145,,,,,0,
Transit,,,,,,,,0,
Transit,0.113,1.85,0.165,,,,,0,
Transit,,,,,,,,0,
Transit,,,,,,,,0,0.086
Transit,0.111,2.05,,,,0,88.81,0,0.0816
Transit,0.1147,2.04,,,,0,89.38,0,0.08354
Transit,0.1147,2.04,,,,0,89.38,0,0.08354
Transit,,2.06,0.184,,,,,0,
Transit,0.1147,2.04,,,,0,89.38,0,0.08354
Transit,0.1132,1.88,,,,0,89.46,0,0.07926
Transit,,1.906,0.17,,,,,0,
Transit,,2.508,0.224,,,,,0,
Transit,0.043,2.57,0.229,,,,,0,
Transit,0.0418,2.61,,,,0,85.47,0,0.05037
Transit,,,,,,,,0,
Transit,0.0424,2.29,,,,0,85.94,0,0.05261
Transit,0.042,2.1,,,,0,87.09,0,0.0502
Transit,0.0424,2.29,,,,0,85.94,0,0.05261
Transit,,2.48,0.221,,,,,0,
Transit,0.0424,2.29,,,,0,85.94,0,0.05261
Transit,,,,,,,,0,0.0519
Transit,,,,,,,,0,
Transit,0.06,2.1,,,,0,87.66,0,0.0478
Transit,0.0603,2.14,,,,0,89.95,0,0.05194
Transit,0.0603,2.14,,,,0,89.95,0,0.05194
Transit,,,,,,,,0,
Transit,,2.37,0.211,,,,,0,
Transit,0.0603,2.14,,,,0,89.95,0,0.05194
Transit,,2.09,0.186,749.9,2.36,,,0,
Transit,0.0595,2.54,,,,0,87.46,0,0.04913
Transit,0.061,2.47,0.22,,,,,0,
Transit,,,,,,,,0,
Transit,,2.441,0.218,,,,,0,
Transit,,,,,,,,0,0.0506
Transit,,,,,,,,0,0.0186
Transit,0.0979,1.37,,,,0,89.91,0,0.01624
Transit,,1.34,0.12,,,,,0,
Transit,,,,,,,,0,
Transit,0.0992,1.27,,,,0,88.24,0,0.01743
Transit,0.0992,1.27,,,,0,88.24,0,0.01743
Transit,0.0992,1.27,,,,0,88.24,0,0.01743
Transit,0.099,1.18,,,,0,89.95,0,0.0172
Transit,0.1,1.44,0.128,,,,,0,
Transit,,,,,,,,0,
Transit,,1.317,0.117,,,,,0,
Transit,,1.22,0.109,33.9,0.107,,,0,
Transit,0.117,2.53,0.226,,,,,0,
Transit,,2.43,0.217,,,,,0,
Transit,,,,,,,,0,0.0406
Transit,,2.241,0.2,,,,,0,
Transit,0.1156,2.23,,,,0,87.66,0,0.03964
Transit,0.1149,2.71,,,,0,86.44,0,0.03796
Transit,0.1156,2.23,,,,0,87.66,0,0.03964
Transit,0.118,2.2,,,,0,88.24,0,0.0397
Transit,,,,,,,,0,
Transit,,,,,,,,0,
Transit,0.1156,2.23,,,,0,87.66,0,0.03964
Transit,0.173,1.79,0.16,,,,,0,
Transit,0.1699,1.36,,,,0,89.38,0,0.01692
Transit,,1.474,0.132,,,,,0,
Transit,0.173,1.47,,,,0,88.81,0,0.0171
Transit,0.1699,1.36,,,,0,89.38,0,0.01692
Transit,,1.45,0.129,,,,,0,
Transit,,,,,,,,0,
Transit,,,,,,,,0,0.018
Transit,0.1699,1.36,,,,0,89.38,0,0.01692
Transit,,,,,,,,0,
Transit,0.1689,1.78,,,,0,87.88,0,0.01665
Transit,0.03068,1.32,0.118,,,,,0,
Transit,,1.649,0.147,,,,,0,
Transit,0.032,1.49,,,,0,83.08,0,0.0544
Transit,,1.577,0.141,,,,,0,
Transit,,1.39,0.124,,,,,0,
Transit,0.0319,1.37,,,,0,85.06,0,0.05367
Transit,,,,,,,,0,
Transit,,,,,,,,0,0.0527
Transit,0.0307,1.17,,,,0,85.94,0,0.05464
Transit,0.0307,1.17,,,,0,85.94,0,0.05464
Transit,,,,,,,,0,
Transit,0.0307,1.17,,,,0,85.94,0,0.05464
Transit,0.032,1.51,0.135,,,,,0,
Transit,,2.043,0.182,,,,,0,
Transit,0.122,1.64,0.146,,,,,0,
Transit,,,,,,,,0,0.0734
Transit,0.122,1.85,,,,0,88.24,0,0.07
Transit,,,,,,,,0,
Transit,,1.58,0.141,,,,,0,
Transit,0.1209,1.58,,,,0,89,0,0.07154
Transit,0.1164,1.29,,,,0,89.38,0,0.07109
Transit,,1.816,0.162,,,,,0,
Transit,,,,,,,,0,
Transit,0.1164,1.29,,,,0,89.38,0,0.07109
Transit,0.1164,1.29,,,,0,89.38,0,0.07109
Transit,0.11617,1.22,0.109,,,,,0,
Transit,,,,,,,,0,
Transit,0.0765,1.11,,,,0,88.81,0,0.01079
Transit,0.0764,1.32,,,,0,84.82,0,0.01069
Transit,0.077,1.29,,,,0,87.09,0,0.0096
Transit,0.0765,1.11,,,,0,88.81,0,0.01079
Transit,,1.22,0.109,,,,,0,
Transit,,1.263,0.113,,,,,0,
Transit,0.078,1.2,0.107,,,,,0,
Transit,0.0765,1.11,,,,0,88.81,0,0.01079
Transit,,,,,,,,0,
Transit,0.11,1.98,,,,0,87.66,0,0.0225
Transit,,1.766,0.158,,,,,0,
Transit,,,,,,,,0,
Transit,0.1084,1.57,,,,0,89.38,0,0.0221
Transit,0.1084,1.57,,,,0,89.38,0,0.0221
Transit,0.1084,1.57,,,,0,89.38,0,0.0221
Transit,0.111,1.77,0.158,,,,,0,
Transit,0.1084,1.85,,,,0,86.45,0,0.02128
Transit,,,,,,,,0,
Transit,,,,,,,,0,0.0219
Transit,,1.71,0.153,,,,,0,
Transit,0.1595,0.95,,,,0,89.38,0,0.00811
Transit,0.1595,0.95,,,,0,89.38,0,0.00811
Transit,0.1594,1.29,,,,0,85.83,0,0.0085
Transit,0.1595,0.95,,,,0,89.38,0,0.00811
Transit,,,,,,,,0,0.0085
Transit,0.163,1.19,0.106,,,,,0,
Transit,,,,,,,,0,
Transit,0.161,1.3,,,,0,88.81,0,0.0099
Transit,,0.98,0.087,,,,,0,
Transit,,,,,,,,0,
Transit,,1.236,0.11,,,,,0,
Transit,0.0275,1.09,,,,0,87.66,0,0.00956
Transit,,,,,,,,0,
Transit,0.027,1.17,,,,0,76.2,0,0.0101
Transit,0.0285,1.72,,,,0,73.17,0,0.01011
Transit,0.0275,1.09,,,,0,87.66,0,0.00956
Transit,0.0275,1.09,,,,0,87.66,0,0.00956
Transit,0.029,1.57,0.14,,,,,0,
Transit,,1.45,0.129,,,,,0,
Transit,,1.889,0.169,,,,,0,
Transit,,,,,,,,0,
Transit,0.0423,1.06,,,,0,87.66,0,0.00908
Transit,0.0423,1.06,,,,0,87.66,0,0.00908
Transit,0.0423,1.06,,,,0,87.66,0,0.00908
Transit,0.044,1.5,0.134,,,,,0,
Transit,0.0437,1.65,,,,0,74.56,0,0.0086
Transit,0.042,1.11,,,,0,81.93,0,0.0092
Transit,,,,,,,,0,
Transit,,1.815,0.162,,,,,0,
Transit,,1.46,0.13,,,,,0,
Transit,,,,,,,,0,0.043
Transit,0.0651,2.31,,,,0,89.95,0,0.04356
Transit,,3.96,0.353,,,,,0,
Transit,,3.09,0.276,,,,,0,
Transit,,,,,,,,0,
Transit,0.068,3.31,0.295,,,,,0,
Transit,0.065,2.5,,,,0,83.65,0,0.0436
Transit,,,,,,,,0,
Transit,0.0651,2.31,,,,0,89.95,0,0.04356
Transit,0.0651,2.31,,,,0,89.95,0,0.04356
Transit,0.0674,3.6,,,,0,83.38,0,0.04365
Transit,,,,,,,,0,0.0152
Transit,,,,,,,,0,
Transit,0.0546,1.83,,,,0,89.94,0,0.015
Transit,0.0532,1.68,,,,0,89.38,0,0.0158
Transit,,,,,,,,0,
Transit,,1.83,0.163,,,,,0,
Transit,0.0532,1.68,,,,0,89.38,0,0.0158
Transit,0.051,1.43,,,,0,81.93,0,0.0162
Transit,,1.532,0.137,,,,,0,
Transit,0.054,1.63,0.145,,,,,0,
Transit,0.0532,1.68,,,,0,89.38,0,0.0158
Transit,,,,,,,,0,0.0113
Transit,0.0797,1.65,,,,0,88.98,0,0.01209
Transit,,1.52,0.136,,,,,0,
Transit,,1.384,0.123,,,,,0,
Transit,0.074,1.23,,,,0,84.22,0,0.0117
Transit,,,,,,,,0,
Transit,,,,,,,,0,
Transit,0.0778,1.49,,,,0,87.66,0,0.01202
Transit,0.0778,1.49,,,,0,87.66,0,0.01202
Transit,0.0778,1.49,,,,0,87.66,0,0.01202
Transit,0.079,1.39,0.124,,,,,0,
Transit,0.1015,1.29,,,,0,89.38,0,0.00941
Transit,0.1015,1.29,,,,0,89.38,0,0.00941
Transit,0.1015,1.29,,,,0,89.38,0,0.00941
Transit,0.103,1.2,0.107,,,,,0,
Transit,,,,,,,,0,
Transit,,1.37,0.122,,,,,0,
Transit,0.096,1.17,,,,0,85.94,0,0.0104
Transit,,1.237,0.11,,,,,0,
Transit,,,,,,,,0,
Transit,0.104,1.47,,,,0,89.02,0,0.00955
Transit,,,,,,,,0,
Transit,0.1339,1.72,,,,0,89.29,0,0.01295
Transit,0.1306,1.52,,,,0,89.95,0,0.01312
Transit,,,,,,,,0,0.0132
Transit,0.132,1.48,0.132,,,,,0,
Transit,,,,,,,,0,
Transit,0.1306,1.52,,,,0,89.95,0,0.01312
Transit,,1.444,0.129,,,,,0,
Transit,,1.67,0.149,,,,,0,
Transit,0.1306,1.52,,,,0,89.95,0,0.01312
Transit,0.124,1.45,,,,0,86.52,0,0.0139
Transit,,2.29,0.204,,,,,0,
Transit,0.1194,2.6,,,,0,89.95,0,0.06412
Transit,,,,,,,,0,
Transit,,2.537,0.226,,,,,0,
Transit,,,,,,,,0,0.0602
Transit,0.1207,2.56,,,,0,88.05,0,0.06125
Transit,0.122,3.32,,,,0,85.37,0,0.0619
Transit,0.122,2.26,0.202,,,,,0,
Transit,0.1194,2.6,,,,0,89.95,0,0.06412
Transit,,,,,,,,0,
Transit,0.1194,2.6,,,,0,89.95,0,0.06412
Transit,,2.915,0.26,,,,,1,
Transit,,2.99,0.267,,,,,1,
Transit,,,,,,,,1,
Transit,,,,,,,,1,0.1094
Transit,0.228,2.94,,,,0,89.77,1,0.10554
Transit,,,,,,,,1,
Transit,0.2255,3.4,,,,0,89.95,1,0.10852
Transit,0.2255,3.4,,,,0,89.95,1,0.10852
Transit,0.23,4.03,,,,0,87.66,1,0.1058
Transit,0.231,3.1,0.277,,,,,1,
Transit,0.2255,3.4,,,,0,89.95,1,0.10852
Transit,0.0427,1.59,,,,0,85.37,0,0.00698
Transit,,1.894,0.169,,,,,0,
Transit,,1.57,0.14,,,,,0,
Transit,0.043,1.72,,,,0,88.24,0,0.0072
Transit,0.0408,1.69,,,,0,72.39,0,0.00689
Transit,0.0427,1.59,,,,0,85.37,0,0.00698
Transit,0.042717,1.639,0.146,5.08,0.01598,0.02,83.2,0,0.006217
Transit,0.042507,1.635,0.146,10.4,0.033,0,82.58,0,
Transit,0.0427,1.59,,,,0,85.37,0,0.00698
Transit,,,,,,,,0,0.0071
Transit,,,,,,,,0,
Transit,0.0292,2.24,0.2,,,,,0,
Transit,,2.91,0.26,,,,,0,
Transit,,,,,,,77.86,0,
Transit,0.0292,2.23,,,,0,88.81,0,0.17519
Transit,0.03,2.56,,,,0,85.37,0,0.1761
Transit,,,,,,,,0,0.1765
Transit,0.032,2.94,0.262,,,,,0,
Transit,0.0292,2.23,,,,0,88.81,0,0.17519
Transit,0.0293,2.26,,,,0,87.23,0,0.17232
Transit,0.0292,2.23,,,,0,88.81,0,0.17519
Transit,,2.997,0.267,,,,,0,
Transit,,,,,,,,0,
Transit,,,,,,,,0,
Transit,,,,,,,,1,0.3324
Transit,0.07,3.62,0.323,,,,,1,
Transit,,4.29,0.383,,,,,1,
Transit,0.06406,3.39,0.302,,,,,1,
Transit,0.064,3.23,,,,0,87.66,1,0.3245
Transit,,,,,,,,1,
Transit,,,,,,,85.73,1,
Transit,,,,,,,,1,
Transit,0.064,3.23,,,,0,87.66,1,0.3245
Transit,,3.793,0.338,,,,,1,0.358115
Transit,0.064,3.23,,,,0,87.66,1,0.3245
Transit,0.0642,3.22,,,,0,87.26,1,0.3139
Transit,,4.263,0.38,,,,,1,
Transit,0.066,3.3,,,,0,88.24,1,0.322
Transit,0.0494,1.3,,,,0,89.23,0,0.02565
Transit,0.0493,2.49,,,,0,89.95,0,0.02677
Transit,0.049,3.52,,,,0,80.21,0,0.0253
Transit,,,,,,,,0,
Transit,,,,,,,,0,
Transit,,,,,,,,0,0.0264
Transit,,1.207,0.108,,,,,0,
Transit,0.048,1.26,0.112,,,,,0,
Transit,,,,,,,,0,
Transit,0.0493,2.49,,,,0,89.95,0,0.02677
Transit,,1.32,0.118,,,,,0,
Transit,0.0493,2.49,,,,0,89.95,0,0.02677
Transit,,2.45,0.219,18.3,0.058,,,0,
Transit,0.063,3.82,,,,0,82.51,0,0.0272
Transit,0.0634,2.53,,,,0,89.38,0,0.02732
Transit,,,,,,,,0,0.0241
Transit,,1.32,0.118,,,,,0,
Transit,0.0636,1.3,,,,0,88.58,0,0.0241
Transit,,,,,,,,0,
Transit,0.0634,2.53,,,,0,89.38,0,0.02732
Transit,0.0634,2.53,,,,0,89.38,0,0.02732
Transit,0.062,1.29,0.115,,,,,0,
Transit,,1.212,0.108,,,,,0,
Transit,,,,,,,,0,
Transit,0.1317,0.92,,,,0,89.61,0,0.0047
Transit,,0.98,0.087,,,,,0,
Transit,0.132,0.94,,,,0,84.22,0,0.0047
Transit,0.133,1.09,0.097,,,,,0,
Transit,,,,,,,,0,
Transit,0.1313,0.87,,,,0,89.38,0,0.00597
Transit,,1.001,0.089,,,,,0,
Transit,0.1313,0.87,,,,0,89.38,0,0.00597
Transit,,,,,,,,0,
Transit,0.1313,0.87,,,,0,89.38,0,0.00597
Transit,0.2053,2.06,,,,0,89.95,0,0.03309
Transit,,,,,,,,0,
Transit,,,,,,,,0,0.0342
Transit,0.2053,2.06,,,,0,89.95,0,0.03309
Transit,0.207,2.74,0.244,,,,,0,
Transit,0.2053,2.06,,,,0,89.95,0,0.03309
Transit,,,,,,,,0,
Transit,0.207,2.61,,,,0,85.94,0,0.0366
Transit,,3.242,0.289,,,,,0,
Transit,,2.37,0.211,,,,,0,
Transit,0.2061,2.99,,,,0,86.65,0,0.03606
Transit,0.0356,1.21,,,,0,89.95,0,0.01838
Transit,0.0356,1.21,,,,0,89.95,0,0.01838
Transit,0.036,1.62,0.145,,,,,0,
Transit,,1.462,0.13,,,,,0,
Transit,,1.31,0.117,,,,,0,
Transit,,,,,,,,0,
Transit,0.0356,1.21,,,,0,89.95,0,0.01838
Transit,0.0367,1.33,,,,0,89.72,0,0.01801
Transit,,,,,,,,0,
Transit,0.035,1.14,,,,0,89.38,0,0.0177
Transit,,1.85,0.165,,,,,0,
Transit,0.0575,2.22,,,,0,87.56,0,0.03321
Transit,0.0558,1.68,,,,0,89.95,0,0.03433
Transit,,,,,,,,0,
Transit,0.0558,1.68,,,,0,89.95,0,0.03433
Transit,,2.433,0.217,,,,,0,
Transit,0.0558,1.68,,,,0,89.95,0,0.03433
Transit,0.055,2.1,,,,0,86.52,0,0.036
Transit,0.057,2.34,0.209,,,,,0,
Transit,0.1273,2.05,,,,0,89.17,0,0.03841
Transit,,,,,,,,0,
Transit,,2.1,0.187,,,,,0,
Transit,,,,,,,,0,0.0392
Transit,0.1242,1.92,,,,0,89.95,0,0.03783
Transit,0.13,2.61,0.233,,,,,0,
Transit,0.128,2.16,,,,0,88.24,0,0.0383
Transit,,3.187,0.284,,,,,0,
Transit,,,,,,,,0,
Transit,0.1242,1.92,,,,0,89.95,0,0.03783
Transit,0.1242,1.92,,,,0,89.95,0,0.03783
Transit,0.1864,1.83,,,,0,85.94,0,0.02485
Transit,,,,,,,,0,
Transit,0.193,2.04,,,,0,88.24,0,0.0323
Transit,,,,,,,,0,0.0246
Transit,,,,,,,,0,
Transit,0.1864,1.83,,,,0,85.94,0,0.02485
Transit,0.194,2.13,0.19,,,,,0,
Transit,0.1864,1.83,,,,0,85.94,0,0.02485
Transit,,3.032,0.27,,,,,0,
Transit,0.191,1.95,,,,0,86.15,0,0.02532
Transit,,1.98,0.177,,,,,0,
Transit,0.0812,1.76,,,,0,86.52,0,0.02476
Transit,0.0812,1.76,,,,0,86.52,0,0.02476
Transit,0.0844,1.42,,,,0,86.69,0,0.02365
Transit,,,,,,,,0,
Transit,0.084,1.62,0.145,,,,,0,
Transit,,,,,,,,0,0.0252
Transit,,1.49,0.133,,,,,0,
Transit,,,,,,,,0,
Transit,0.0812,1.76,,,,0,86.52,0,0.02476
Transit,,1.547,0.138,,,,,0,
Transit,0.086,1.71,,,,0,89.38,0,0.0253
Transit,0.1095,1.53,,,,0,88.81,0,0.02179
Transit,,1.31,0.117,,,,,0,
Transit,,,,,,,,0,
Transit,,,,,,,,0,
Transit,,,,,,,,0,0.0214
Transit,,,,,,,,0,
Transit,0.1095,1.53,,,,0,88.81,0,0.02179
Transit,,1.323,0.118,,,,,0,
Transit,0.1139,1.21,,,,0,88.61,0,0.01981
Transit,0.1095,1.53,,,,0,88.81,0,0.02179
Transit,0.116,1.57,,,,0,89.38,0,0.0215
Transit,0.113,1.77,0.158,,,,,0,
Transit,,2.34,0.209,23.6,0.074,,,1,
Transit,,,,,,,,1,
Transit,,,,,,,,1,
Transit,0.191,2.82,,,,0,88.81,1,0.0545
Transit,0.1798,2.45,,,,0,89.38,1,0.05608
Transit,,2.433,0.217,,,,,1,
Transit,,,,,,,,1,0.055
Transit,,2.05,0.183,,,,,1,
Transit,0.187,2.23,,,,0,88.93,1,0.05513
Transit,0.1798,2.45,,,,0,89.38,1,0.05608
Transit,0.1798,2.45,,,,0,89.38,1,0.05608
Transit,0.185,2.39,0.213,,,,,1,
Transit,,1.49,0.133,,,,,0,
Transit,0.3049,1.75,,,,0,89.95,0,0.02905
Transit,,1.58,0.141,,,,,0,
Transit,0.3171,1.45,,,,0,89.68,0,0.02956
Transit,0.314,1.75,0.156,,,,,0,
Transit,0.3049,1.75,,,,0,89.95,0,0.02905
Transit,,,,,,,,0,
Transit,,,,,,,,0,
Transit,,,,,,,,0,0.0332
Transit,0.324,1.8,,,,0,89.38,0,0.0281
Transit,0.3049,1.75,,,,0,89.95,0,0.02905
Transit,,,,,,,,0,
Transit,0.0785,1.91,,,,0,85.37,0,0.03036
Transit,,,,,,,,0,
Transit,0.0785,1.91,,,,0,85.37,0,0.03036
Transit,,,,,,,,0,0.0298
Transit,0.0767,2.12,,,,0,88.11,0,0.02951
Transit,,2.765,0.247,,,,,0,
Transit,0.079,2.35,0.21,,,,,0,
Transit,0.0785,1.91,,,,0,85.37,0,0.03036
Transit,0.079,1.96,,,,0,84.8,0,0.0298
Transit,,2.23,0.199,,,,,0,
Transit,0.1321,2.95,,,,0,89.94,0,0.05869
Transit,0.136,3.04,0.271,,,,,0,
Transit,0.1354,2.5,,,,0,89.95,0,0.05818
Transit,,,,,,,,0,0.0582
Transit,0.137,2.73,,,,0,87.09,0,0.0596
Transit,0.1354,2.5,,,,0,89.95,0,0.05818
Transit,,2.87,0.256,,,,,0,
Transit,0.1354,2.5,,,,0,89.95,0,0.05818
Transit,,3.851,0.344,,,,,0,
Transit,,,,,,,,0,
Transit,,,,,,,,0,
Transit,,2.258,0.201,,,,,0,
Transit,,,,,,,,0,0.0166
Transit,,,,,,,,0,
Transit,,2.11,0.188,,,,,0,
Transit,0.067,2.3,,,,0,80.79,0,0.019
Transit,0.0676,1.81,,,,0,89.95,0,0.01544
Transit,0.065,2.23,0.199,,,,,0,
Transit,0.0626,2.12,,,,0,88.73,0,0.01558
Transit,0.0676,1.81,,,,0,89.95,0,0.01544
Transit,,,,,,,,0,
Transit,0.0676,1.81,,,,0,89.95,0,0.01544
Transit,,,,,,,,0,
Transit,0.0856,1.84,,,,0,86.96,0,0.01021
Transit,0.0924,1.48,,,,0,89.95,0,0.01037
Transit,0.091,1.83,,,,0,83.08,0,0.0102
Transit,,1.954,0.174,,,,,0,
Transit,,1.74,0.155,,,,,0,
Transit,0.0924,1.48,,,,0,89.95,0,0.01037
Transit,0.089,1.85,0.165,,,,,0,
Transit,,,,,,,,0,
Transit,,,,,,,,0,0.0108
Transit,0.0924,1.48,,,,0,89.95,0,0.01037
Transit,,1.32,0.118,,,,,0,
Transit,0.0545,1.14,,,,0,86.52,0,0.00591
Transit,0.054,1.25,,,,0,79.07,0,0.0061
Transit,0.0545,1.14,,,,0,86.52,0,0.00591
Transit,,,,,,,,0,
Transit,0.0545,1.14,,,,0,86.52,0,0.00591
Transit,0.0505,1.29,,,,0,89.75,0,0.00583
Transit,,1.375,0.123,,,,,0,
Transit,,,,,,,,0,
Transit,,,,,,,,0,0.0205
Transit,,1.67,0.149,,,,,0,
Transit,0.0459,1.72,,,,0,81.93,0,0.02173
Transit,0.046,1.47,,,,0,89.27,0,0.02066
Transit,0.046,1.5,,,,0,87.66,0,0.0202
Transit,,,,,,,,0,
Transit,,,,,,,,0,
Transit,,1.483,0.132,,,,,0,
Transit,0.0459,1.72,,,,0,81.93,0,0.02173
Transit,0.046,1.48,0.132,,,,,0,
Transit,0.0459,1.72,,,,0,81.93,0,0.02173
Transit,0.248,3.19,,,,0,89.38,0,0.0836
Transit,,3.074,0.274,,,,,0,
Transit,,,,,,,,0,
Transit,,,,,,,,0,0.0838
Transit,0.2451,2.97,,,,0,89.95,0,0.08281
Transit,0.2451,2.97,,,,0,89.95,0,0.08281
Transit,,2.9,0.259,,,,,0,
Transit,0.248,3.14,0.28,,,,,0,
