#A [AU],M [earth mass]
0.031760,597.52040
0.208000,600.67000
0.610000,600.70000
2.070000,603.85000
5.100000,603.85000
1.200000,603.87700
2.770000,603.90000
0.800000,603.90000
0.071000,604.00000
2.900000,610.00000
0.832000,610.23360
3.787000,612.14058
1.157000,612.45841
1.750000,616.56000
2.070000,616.59020
1.370000,619.76850
0.743450,622.60300
0.540000,622.94680
1.600000,622.94680
1.260000,624.21812
3.230000,626.00000
1.650000,626.12510
1.200000,626.12510
0.070000,626.12510
1.320000,629.28000
0.830000,629.28000
0.720000,629.30340
0.827774,629.59500
2.231000,630.89255
1.333000,632.46000
4.890000,632.46000
0.947000,632.46000
3.318000,633.43519
1.566000,634.38868
1.331000,635.00000
3.340000,635.60000
1.320000,635.63300
25.000000,635.66000
2.070000,635.66000
2.800000,635.66000
2.110000,638.83830
1.600000,638.83830
2.800000,638.83830
0.747000,639.00000
3.300000,640.00000
0.580000,642.00000
5.750000,645.19490
0.760000,645.19490
1.000000,645.20000
1.740000,647.10188
3.780000,654.72980
1.164000,657.90000
3.363200,659.15200
1.063000,666.17168
1.780000,667.40000
4.300000,667.40000
2.335000,667.41000
2.250000,667.41000
0.360000,667.41500
2.400000,667.44300
2.800000,667.44300
0.210000,670.59000
2.040000,670.62130
0.770000,670.62130
3.270000,670.62130
5.140000,673.79960
0.238800,674.00000
0.910000,676.97790
0.070000,677.00000
1.290000,680.15620
2.380000,686.51280
6.950000,689.66000
0.280000,689.69110
2.800000,689.69110
0.807900,691.56900
1.099000,692.84000
3.980000,692.86940
0.843000,697.31902
1.680000,699.19700
2.090000,699.20000
5.150000,699.22600
1.320000,699.22600
2.390000,699.54383
2.180000,702.40430
2.320000,704.94694
2.497000,706.53609
0.760000,708.76090
1.170000,708.76090
1.291000,711.91000
2.110000,711.93920
0.650000,715.09000
1.030000,715.09000
0.821000,715.09000
0.925000,718.29580
1.640000,721.47410
0.920000,721.47410
0.208317,723.22350
4.600000,724.62000
1.490000,724.65240
2.420000,727.80000
1.220000,730.97800
1.190000,730.97800
4.500000,731.00000
0.831000,731.00000
1.640000,731.00000
1.360000,731.00900
1.280000,731.00900
1.120000,737.36560
1.580000,740.54390
1.864000,740.54390
0.831000,743.70000
1.190000,753.23000
4.600000,753.23000
0.263000,759.58000
1.190000,759.61370
1.150000,762.76000
2.280000,762.79200
2.100000,762.79200
2.200000,762.80000
1.100000,762.80000
1.320000,767.24162
2.701000,769.46643
5.543000,770.07000
0.840000,772.32690
3.430000,772.32690
2.550000,776.00000
2.100000,778.68350
1.290000,778.68350
1.596000,778.70000
1.580000,781.83000
1.930000,781.86180
0.240000,791.36000
1.150000,794.50000
1.160000,794.50000
1.500000,794.50000
0.690000,794.50000
4.410000,794.54000
6.150000,794.57500
2.300000,797.75330
1.600000,797.75330
1.190000,797.75330
0.207740,804.07600
2.100000,804.08000
3.430000,807.25000
1.592000,807.28820
3.240000,810.43000
1.320000,810.46650
0.238000,810.46650
1.540000,813.64480
1.020000,816.79000
5.360000,819.97000
2.370000,819.97000
1.900000,826.30000
1.400000,826.30000
2.110000,826.32000
2.540000,826.32000
5.320000,826.32000
2.000000,826.35800
3.900000,829.50000
1.600000,829.53630
1.320000,832.71460
1.610000,835.90000
0.211000,839.04000
1.660000,839.07120
3.140000,839.07120
0.218585,845.30000
4.187000,845.74563
0.706000,851.78440
0.277000,854.96270
1.160000,858.10000
1.920000,858.10000
0.810000,858.10000
1.300000,858.10500
1.400000,858.14100
1.190000,858.14100
6.700000,861.28000
1.191000,861.31930
2.570000,864.49760
4.438000,864.49760
1.280000,867.63900
1.262000,874.03250
2.110000,877.17000
0.070000,886.74570
0.790000,886.74570
0.214000,887.69135
2.400000,889.92400
0.680000,890.00000
0.283100,890.52200
3.180000,896.20000
0.920000,899.42000
1.450000,902.63720
0.260000,902.63720
1.340000,905.81550
0.810000,915.31000
4.670000,915.35040
5.280000,918.49000
1.130000,918.52870
1.690000,920.00000
0.760000,921.66800
